onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
7.404	0.4	Patrouille				NN		
7.804	0.6	streift				VVFIN		
8.404	0.1	der				ART		
8.504	0.2	Trupp		males		NN		
8.704	1.6	durch				APPR		
10.304	0.1	den				ART		
10.404	0.1	Dschungel		setting_rec;geo		NN		
19.304	14.1	ein				ART		
33.404	0.4	Kamerad		male		NN		
33.804	0.2	wird				VAFIN		
34.004	0.3	getroffen				VVPP		
34.304	0.6	Forrest		mname		NN		
34.904	0.3	wirft				VVFIN		
35.204	0.1	sich				PRF		
35.304	0.1	hin				PTKVZ		
35.404	2.0	leuchtende				ADJA		
37.404	0.5	Munition		object		NN		
37.904	0.2	saust				ADJD		
38.104	0.2	durch				APPR		
38.304	0.1	die				ART		
38.404	0.3	Luft				NN		
38.704	4.2	überall				ADV		
42.904	0.6	spritzt#Erde#hoch		#	#	#		
43.504	0.9	Forrest#robbt		#	#	#		
44.404	0.5	hinter				APPR		
44.904	0.1	eine				ART		
45.004	0.4	Wegböschung		geo		NN		
45.404	5.6	Neben#Forrest		#	#	#		
51.004	0.4	liegt				VVFIN		
51.404	0.1	Dan		mname		NE		
51.504	0.2	und				KON		
51.704	0.2	hält				VVFIN		
51.904	0.1	den				ART		
52.004	0.2	Hörer		object		NN		
52.204	0.2	eines				ART		
52.404	0.5	Funktelefon		object		NN		
52.904	6.4	Forrest#schießt		#	#	#		
79.204	1.2	ein				ART		
80.404	0.4	Feuerball				NN		
80.804	0.3	fegt				VVFIN		
81.104	0.2	die				ART		
81.304	0.4	MG-Schützen		persons		NN		
81.704	0.4	weg				PTKVZ		
82.104	12.3	Forrest#schaut		#	#	#		
94.404	0.6	verstört				VVFIN		
95.004	0.2	zwischen				APPR		
95.204	0.3	Dan		mname		NE		
95.504	0.0	und				KON		
95.504	0.3	Bubba		mname		NE		
95.804	0.2	hin				ADV		
96.004	0.2	und				KON		
96.204	0.1	her				ADV		
96.304	2.9	Dan		mname		NE		
99.204	0.1	zerrt				VVFIN		
99.304	0.4	Forrest		mname		NN		
99.704	0.2	hoch				PTKVZ		
99.904	5.4	Forrest				NN		
105.304	0.2	rennt				VVFIN		
105.504	0.4	los				PTKVZ		
105.904	0.6	überall				ADV		
106.504	0.3	schlagen				VVFIN		
106.804	0.4	Granaten		object		NN		
107.204	0.2	ein				PTKVZ		
107.404	0.4	Erde		###		NN		
107.804	0.4	spritzt				VVFIN		
108.204	0.1	hoch				PTKVZ		
108.304	3.5	ein				ART		
111.804	0.4	Soldat		male		NN		
112.204	0.6	hinter#Forrest		#	#	#		
112.804	0.2	wird				VAFIN		
113.004	0.4	weggerissen				VVPP		
113.404	8.6	Forrest		mname		NN		
122.004	0.4	überholt				VVFIN		
122.404	0.3	Bubba		mname		NE		
122.704	0.3	ohne				APPR		
123.004	0.2	ihn				PPER		
123.204	0.0	zu				PTKZU		
123.204	0.3	bemerken				VVINF		
139.204	3.0	er				PPER		
142.204	0.1	bleibt				VVFIN		
142.304	0.5	stehen				VVINF		
142.804	0.4	schnellt				VVFIN		
143.204	0.3	herum				PTKVZ		
143.504	0.3	und				KON		
143.804	0.2	rennt				VVFIN		
144.004	0.2	zurück				PTKVZ		
144.204	5.7	Forrest		mname		NN		
149.904	0.4	läuft				VVFIN		
150.304	0.1	durch				APPR		
150.404	0.1	den				ART		
150.504	0.4	lichten				ADJA		
150.904	0.3	Dschungel		locale_recur		NN		
151.204	9.9	neben				APPR		
161.104	0.2	ihm				PPER		
161.304	0.4	hebt#sic#h		#	#	#		
161.704	0.2	eine				ART		
161.904	0.2	Hand		bodypart		NN		
162.104	6.8	Forrest		mname		NN		
168.904	0.3	legt				VVFIN		
169.204	0.1	sich				PRF		
169.304	0.3	Tex		mname		NE		
169.604	0.2	über				APPR		
169.804	0.1	die				ART		
169.904	0.3	Schultern		body		NN		
170.204	9.3	Tex#ist		#	#	#		
179.504	0.3	an				APPR		
179.804	0.1	der				ART		
179.904	0.3	Schulter		body		NN		
180.204	0.4	verwundet				VVPP		
180.604	0.4	sein				PPOSAT		
181.004	0.3	Hemd		object		NN		
181.304	0.1	ist				VAFIN		
181.404	0.7	blut-durchtränkt				VVPP		
182.104	4.8	Forrest		mname		NN		
186.904	0.7	kommt#mit#Tex		#	#	#		
187.604	0.1	zu				APPR		
187.704	0.2	einer				ART		
187.904	0.3	Lichtung		locale		NN		
188.204	0.2	an				APPR		
188.404	0.2	einem				ART		
188.604	0.5	Flussufer		geo		NN		
189.104	0.3	und				KON		
189.404	0.2	legt				VVFIN		
189.604	0.1	ihn				PPER		
189.704	0.2	ins				APPRART		
189.904	0.2	Gras		roomgeo		NN		
199.204	3.4	er				PPER		
202.604	0.2	legt				VVFIN		
202.804	0.2	einen				ART		
203.004	0.4	Soldaten		male		NN		
203.404	0.1	mit				APPR		
203.504	0.5	blutigem				ADJA		
204.004	0.4	Kopfverband		head		NN		
204.404	0.2	ans				APPRART		
204.604	0.1	Ufer		geo		NN		
204.704	0.3	und				KON		
205.004	0.3	rennt				VVFIN		
205.304	0.2	zurück				PTKVZ		
205.504	0.6	er#findet		#	#	#		
206.104	0.3	Dallas		mname		NE		
206.404	3.2	Forrest		mname		NN		
209.604	0.3	legt				VVFIN		
209.904	0.2	auch				ADV		
210.104	0.2	ihn				PPER		
210.304	0.4	ans#Ufer		#	#	#		
210.704	10.8	er				PPER		
221.504	0.4	stolpert				VVFIN		
221.904	0.1	und				KON		
222.004	0.3	starrt				VVFIN		
222.304	0.1	auf				APPR		
222.404	0.4	Dans		mname		NE		
222.804	0.5	blutige				ADJA		
223.304	0.1	Beine		bodypart		NN		
223.404	12.4	Forrest		mname		NN		
235.804	0.7	schneidet				VVFIN		
236.504	0.1	ihm				PPER		
236.604	0.1	den				ART		
236.704	0.3	Rucksack		object		NN		
237.004	0.2	ab				PTKVZ		
237.204	6.9	Forrest		mname		NN		
244.104	0.3	wuchtet				VVFIN		
244.404	0.2	Dan		mname		NE		
244.604	0.1	auf				APPR		
244.704	0.2	die				ART		
244.904	0.3	Schultern		body		NN		
245.204	11.8	Er				PPER		
257.004	0.2	fällt				VVFIN		
257.204	0.2	hin				PTKVZ		
257.404	0.3	ein				ART		
257.704	0.2	Baum		geo		NN		
257.904	0.2	hinter				APPR		
258.104	0.2	ihm				PPER		
258.304	0.5	explodiert				VVPP		
259.104	1.8	Forrest		mname		NN		
260.904	0.4	schleift#Dan		#	#	#		
261.304	0.2	an				APPR		
261.504	0.2	einem				ART		
261.704	0.2	Arm		bodypart		NN		
261.904	0.3	hinter				APPR		
262.204	0.1	sich				PRF		
262.304	0.2	her				PTKVZ		
262.504	0.5	der				PDS		
263.004	0.3	schießt				VVFIN		
263.304	0.2	mit				APPR		
263.504	0.1	der				ART		
263.604	0.2	Pistole		object		NN		
263.804	0.4	zurück				ADV		
264.204	0.2	in				APPR		
264.404	0.2	den				ART		
264.604	0.3	Dschungel		geo		NN		
272.004	13.0	Forrest		mname		NN		
285.004	0.2	legt				VVFIN		
285.204	0.1	auch				ADV		
285.304	0.2	ihn				PPER		
285.504	0.2	ans				APPRART		
285.704	0.2	Ufer		geo		NN		
285.904	0.4	Dan		mname		NE		
286.304	0.2	hält				VVFIN		
286.504	0.1	ihn				PPER		
286.604	0.2	fest				PTKVZ		
286.804	14.8	er				PPER		
301.604	0.3	rennt				VVFIN		
301.904	0.2	wieder				ADV		
302.104	0.3	los				PTKVZ		
304.404	0.9	mit				APPR		
305.304	0.2	seinem				PPOSAT		
305.504	0.2	Gewehr		object		NN		
305.704	0.2	in				APPR		
305.904	0.3	beiden				PIAT		
306.204	0.1	Händen		bodypart		NN		
306.304	0.6	hastet				VVFIN		
306.904	0.2	er				PPER		
307.104	0.1	durch				APPR		
307.204	0.1	den				ART		
307.304	0.2	Dschungel		locale_recur		NN		
307.504	5.4	Forrest#stoppt		#	#	#		
312.904	0.4	und				KON		
313.304	0.2	sieht				VVFIN		
313.504	0.0	sich				PRF		
313.504	0.5	verzweifelt				ADJD		
314.004	0.2	um				PTKVZ		
314.204	3.5	der				PDS		
317.704	0.3	sieht				VVFIN		
318.004	0.2	zur				APPRART		
318.204	0.2	Seite				NN		
318.404	0.2	und				KON		
318.604	0.5	entdeckt				VVFIN		
319.104	0.1	Bubba		mname		NE		
319.204	0.3	am				APPRART		
319.504	0.3	Boden				NN		
319.804	0.5	Rauch		###		ADV		
320.304	0.3	liegt				VVFIN		
320.604	0.1	in				APPR		
320.704	0.2	der				ART		
320.904	0.0	Luft		###		NN		
320.904	8.5	geschockt				ADJD		
329.404	0.4	zieht				VVFIN		
329.804	0.4	Forrest		mname		NN		
330.204	0.2	einen				ART		
330.404	0.3	blutigen				ADJA		
330.704	0.7	Palmwedel		object		NN		
331.404	0.1	von				APPR		
331.504	0.3	Bubbas		mname		NE		
331.804	0.3	großer				ADJA		
332.104	0.5	Bauchwunde		object		NN		
332.604	8.7	etwas				ADV		
341.304	0.5	entfernt				ADJD		
341.804	0.3	huschen				ADJA		
342.104	0.4	Gestalten		persons		NN		
342.504	0.3	vorbei				PTKVZ		
342.804	2.4	schaut				VVFIN		
345.204	0.1	kurz				ADJD		
345.304	0.3	hin				PTKVZ		
345.604	7.5	er				PPER		
353.104	0.2	läuft				VVFIN		
353.304	0.1	mit				APPR		
353.404	0.3	Bubba		mname		NE		
353.704	0.1	auf				APPR		
353.804	0.2	den				ART		
354.004	0.2	Armen		bodypart		NN		
354.204	0.2	durch				APPR		
354.404	0.1	den				ART		
354.504	0.1	Dschungel		geo		NN		
354.604	9.7	Beim#La		#	#	#		
364.304	0.3	ufe#n		#	#	#		
364.604	0.2	sieht				VVFIN		
364.804	0.3	Forrest		mname		NN		
365.104	0.6	panisch				ADJD		
365.704	0.2	zum				APPRART		
365.904	0.3	Himmel		###		NN		
366.204	0.6	er				PPER		
366.804	0.0	kommt				VVFIN		
366.804	0.3	mit				APPR		
367.104	0.3	Bubba		mname		NE		
367.404	0.1	auf				APPR		
367.504	0.2	eine				ART		
367.704	0.3	Lichtung		locale		NN		
368.004	1.0	Kampfjets		object		NN		
369.004	0.2	fliegen				VVFIN		
369.204	0.4	heran				PTKVZ		
369.604	0.6	im				APPRART		
370.204	0.3	Dschungel		geo		NN		
370.504	0.3	hinter				APPR		
370.804	0.1	den				ART		
370.904	0.1	beiden				PIAT		
371.004	0.8	explodieren				ADJA		
371.804	0.8	Napalmbomben		object		NN		
372.604	0.4	die				ART		
373.004	0.6	Explosionen				NN		
373.604	0.3	kommen				VVFIN		
373.904	0.2	immer				ADV		
374.104	0.1	näher				ADJD		
374.204	5.5	ein				ART		
379.704	0.5	orangeroter				ADJA		
380.204	0.7	Feuerball		###		NN		
380.904	0.4	schießt				VVFIN		
381.304	0.4	direkt				ADJD		
381.704	0.3	hinter				APPR		
382.004	0.2	ihnen				PPER		
382.204	0.2	hoch				ADJD		
382.404	0.7	Forrest		mname		NN		
383.104	0.2	rennt				VVFIN		
383.304	0.2	weiter				PTKVZ		
383.504	0.5	der				ART		
384.004	0.3	Dschungel		geo		NN		
384.304	0.2	steht				VVFIN		
384.504	0.2	in				APPR		
384.704	0.2	Flammen		###		NN		
384.904	5.3	dunkler				ADJA		
390.204	0.3	Qualm		###		NN		
390.504	0.3	hängt				VVFIN		
390.804	0.3	über				APPR		
391.104	0.1	den				ART		
391.204	0.3	Baumkronen		geo		NN		
391.504	0.8	gehetzt				VVPP		
392.304	0.5	trägt				VVFIN		
392.804	0.6	f#oreve#r		#	#	#		
393.404	0.2	zum				APPRART		
393.604	0.3	Ufer		locale_recur		NN		
393.904	13.1	mit				APPR		
407.004	0.2	Bubba		mname		NE		
407.204	0.1	im				APPRART		
407.304	0.3	Arm		bodypart		NN		
407.604	0.3	sitzt				VVFIN		
407.904	0.1	er				PPER		
408.004	0.1	im				APPRART		
408.104	0.2	Gras		roomgeo		NN		
424.304	24.7	auf				APPR		
449.004	0.2	der				ART		
449.204	0.2	Wartebank		setting_rec;furniture		NN		
449.404	3.4	neben				APPR		
452.804	0.4	Forrest		mname		NN		
453.204	0.3	sitzt				VVFIN		
453.504	0.2	jetzt				ADV		
453.704	0.3	ein				ART		
454.004	0.2	dicker				ADJA		
454.204	0.1	Mann		male		NN		
454.304	2.3	Forrest		mname		NN		
456.604	0.4	sieht				VVFIN		
457.004	0.1	ihn				PPER		
457.104	0.3	abrupt				ADJD		
457.404	0.3	an				PTKVZ		
457.704	24.0	im				APPRART		
481.704	0.4	Lazarett		setting_new		NN		
484.304	6.7	Forrest		mname		NN		
491.004	0.2	mit				APPR		
491.204	0.1	zwei				CARD		
491.304	0.6	Eistüten		object		NN		
491.904	0.2	liegt				VVFIN		
492.104	0.1	auf				APPR		
492.204	0.2	dem				ART		
492.404	0.1	Bauch		body		NN		
492.504	3.9	Dan		mname		NE		
496.404	0.3	schaut				VVFIN		
496.704	0.2	ins				APPRART		
496.904	0.2	Leere				NN		
497.104	3.7	Er				PPER		
500.804	0.3	nimmt				VVFIN		
501.104	0.1	die				ART		
501.204	0.3	Tüte		object		NN		
501.504	0.5	legt				VVFIN		
502.004	0.0	sie				PPER		
502.004	0.1	in				APPR		
502.104	0.2	seine				PPOSAT		
502.304	0.5	Bettpfanne		object		NN		
502.804	0.6	und#starrt		#	#	#		
503.404	0.2	weiter				ADV		
503.604	0.2	vor				APPR		
503.804	0.1	sich				PRF		
503.904	0.2	hin				ADV		
504.104	2.5	Forrest#robbt		#	#	#		
506.604	0.3	von				APPR		
506.904	0.0	einer				ART		
506.904	0.4	Liege		furniture		NN		
507.304	0.1	auf				APPR		
507.404	0.2	sein				PPOSAT		
507.604	0.1	Bett		furniture		NN		
507.704	6.1	der				ART		
513.804	0.4	Pfleger		male		NN		
514.204	0.2	legt				VVFIN		
514.404	0.4	Dans		mname		NE		
514.804	0.4	Hände		bodypart		NN		
