onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
7.002	0.64	ERZAEHLER	1	speech	regular	HS	Es ist Tag.	
8.122	3.84	ERZAEHLER	1	speech	regular	AND	Neben seinem Haus sitzt Forrest auf dem kleinen Mäher und mäht die große Wiese.	
17.042	1.64	ERZAEHLER	1	speech	regular	HS	Er zieht eine schnurgerade Bahn.	
21.602	2.88	ERZAEHLER	1	speech	regular	HS;NS	Die Wiese grenzt an den Fluss, der von Bäumen gesäumt ist.	
27.682	1.36	ERZAEHLER	1	speech	regular	HS	Von der Zufahrt kommt...	
29.642	1.28	ERZAEHLER	1	speech	regular;addendum	none	...Jenny auf den Rasen.	
33.082	2.48	ERZAEHLER	1	speech	regular	HS	Sie geht am Baum mit der Schaukel vorbei auf Forrest zu.	
36.082	0.64	FORREST (V.O.)	1	speech	regular	incomplete	Und dann...	
38.202	1.0	FORREST (V.O.)	1	speech	regular;addendum	HS	...war sie da.	
45.362	1.4	ERZAEHLER	1	speech	regular	HS	Langsam nähert sich Jenny.	
49.602	1.04	ERZAEHLER	1	speech	regular	HS	Forrest steigt ab.	
51.042	2.24	ERZAEHLER	1	speech	regular	HS	Ungläubig geht er ihr ein paar Schritte entgegen.	
53.482	0.68	ERZAEHLER	1	speech	regular	HS	Und hält an.	
60.082	1.28	ERZAEHLER	1	speech	regular	HS	Er eilt auf Jenny zu.	
67.642	2.64	ERZAEHLER	1	speech	regular	HS	Mit etwas Abstand bleiben die beiden voreinander stehen.	
70.762	1.04	JENNY	1	speech	regular	address	Hallo, Forrest	
72.962	0.8	FORREST	1	speech	regular	address	Hallo, Jenny	
74.722	1.28	ERZAEHLER	1	speech	regular	HS	Sie fällt ihm um den Hals.	
81.602	2.36	ERZAEHLER	1	speech	regular	HS	Zögernd legt auch er seine Arme um sie.	
84.962	1.04	FORREST (V.O.)	1	speech	regular	HS	Jenny war wieder da.	
86.362	0.92	FORREST (V.O.)	1	speech	regular	HS	Und sie blieb bei mir.	
87.362	1.0	ERZAEHLER	1	speech	regular	HS;HS	Es ist Tag. Sie schläft.	
88.522	3.76	FORREST (V.O.)	1	speech	regular	HS;NS;NS2	Vielleicht kam das daher, dass sie nicht wusste, wo sie sonst hingehen sollte.	
92.482	2.4	FORREST (V.O.)	1	speech	regular	none;NS	Oder auch deshalb, weil sie so müde war.	
95.402	2.68	FORREST (V.O.)	1	speech	regular	AND	Denn sie ging ins Bett und schlief und schlief.	
98.602	2.2	FORREST (V.O.)	1	speech	regular	NS	Als ob sie seit Jahren nicht geschlafen hätte.	
101.282	1.96	FORREST (V.O.)	1	speech	regular	HS;NS	Es war wunderbar, sie zu Hause zu haben.	###grammar###
103.562	1.24	ERZAEHLER	1	speech	regular	HS	Sie schlendern über eine Wiese.	
105.042	4.44	FORREST (V.O.)	1	speech	regular	complex	Wir machten jeden Tag einen Spaziergang und ich habe geplappert wie ein Äffchen.	
107.322	11.6	FORREST	0	speech	regular	undistinguishable	BACKGROUND GEQUATSCHE	
109.722	4.84	FORREST (V.O.)	1	speech	regular	HS	Sie hat sich alles angehört vom Ping Pong spielen, vom Shrimpfischen und von Mamas Reise in den Himmel.	
115.042	2.24	FORREST (V.O.)	1	speech	regular	HS	Die meiste Zeit hab ich allein geredet.	
117.482	1.76	FORREST (V.O.)	1	speech	regular	HS	Jenny war eigentlich richtig still.	
119.682	0.68	FORREST	1	speech	regular	none	...dann Regen.	###
121.522	50.56	LYNYRD SKYNYRD	1	song	regular		"""Sweet Home Alabama"" "	
123.063	3.32	FORREST (V.O.)	1	speech	regular	HS;NS	Eigentlich habe ich nie erfahren, warum sie zurückgekommen war.	
126.703	2.48	FORREST (V.O.)	1	speech	regular	HS;HS	Aber es war mir auch egal, es war wie früher.	
