onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
5.378	0.4	auf				APPR		
5.778	0.3	einen				ART		
6.078	0.3	Spielplatz		setting_new		NN		
6.378	0.3	in				APPR		
6.678	0.1	einem				ART		
6.778	0.4	Park		geo		NN		
7.178	0.5	schaukelt				VVFIN		
7.678	0.4	Forrest				###		
8.078	0.3	Junior		mname		NE		
8.378	0.4	seine				PPOSAT		
8.778	0.4	Eltern		persons		NN		
9.178	0.2	sitzen				VVFIN		
9.378	0.1	auf				APPR		
9.478	0.2	einer				ART		
9.678	0.1	Bank		furniture		NN		
9.778	51.7	vor				APPR		
61.478	0.7	ForrestsHaus		setting_rec		NN		
62.178	0.6	elegant				ADJD		
62.778	0.5	gekleidete				ADJA		
63.278	0.0	Leute		persons		NN		
63.278	0.9	Luis		fname		NE		
64.178	0.2	im				APPRART		
64.378	0.4	gelben				ADJA		
64.778	0.1	Kleid		body		NN		
65.078	0.2	geht				VVFIN		
65.278	0.3	zu#For	###			###		
65.578	0.3	e#st	###			NE		
65.878	0.2	der				ART		
66.078	0.6	nachdenklich				ADJD		
66.678	0.2	etwas				PIS		
66.878	0.3	abseits				ADV		
67.178	0.3	steht				VVFIN		
67.478	3.6	Jenny		fname		NE		
71.078	0.2	kommt				VVFIN		
71.278	0.1	aus				APPR		
71.378	0.1	dem				ART		
71.478	0.2	Haus		geo		NN		
71.678	0.2	auf				APPR		
71.878	0.2	die				ART		
72.078	0.7	blumen-geschmückte				ADJA		
72.778	0.4	Veranda		locale_recur		NN		
73.178	0.7	Forrest		mname		NE		
73.878	0.2	geht				VVFIN		
74.078	0.2	ihr				PPER		
74.278	0.4	entgegen				PTKVZ		
74.678	0.7	er				PPER		
75.378	0.2	trägt				VVFIN		
75.578	0.2	einen				ART		
75.778	0.3	hellgrauen				ADJA		
76.078	0.2	Anzug		body		NN		
76.278	0.5	mit				APPR		
76.778	0.2	einem				ART		
76.978	0.5	Sträußchen		object		NN		
77.478	0.1	im				APPRART		
77.578	0.3	Knopfloch		object		NN		
77.878	0.5	und				KON		
78.378	0.2	eine				ART		
78.578	0.3	dunkle				ADJA		
78.878	0.5	geblümte				ADJA		
79.378	0.4	Krawatte		object		NN		
79.778	0.9	Jenny		fname		NE		
80.678	0.3	steigt				VVFIN		
80.978	0.5	barfuß		###bodypart###		ADV		
81.478	0.2	die				ART		
81.678	0.4	Stufen		furniture		NN		
82.078	0.1	zu				APPR		
82.178	0.1	ihm				PPER		
82.278	0.3	herunter				PTKVZ		
82.578	0.8	sie				PPER		
83.378	0.3	trägt				VVFIN		
83.678	0.1	ein				ART		
83.778	0.7	cremefarbenes				ADJA		
84.478	0.5	schlichtes				ADJA		
84.978	0.3	Brautkleid		body		NN		
85.278	0.4	mit				APPR		
85.678	0.7	Puffärmeln		###body###		NN		
86.378	0.3	und				KON		
86.678	0.2	eine				ART		
86.878	0.6	Blumenkranz		object		NN		
87.478	0.1	im				APPRART		
87.578	0.1	Haar		head		NN		
87.678	4.3	Jenny		fname		NE		
91.978	0.4	richtet				VVFIN		
92.378	0.1	sie				PPER		
95.878	0.9	die				ART		
96.778	0.3	beiden				PIS		
97.078	0.2	blicken				VVFIN		
97.278	0.2	zur				APPRART		
97.478	0.4	Zufahrt		geo		NN		
97.878	0.9	aufrecht				ADJD		
98.778	0.3	gehend				ADJD		
99.078	0.2	auf				APPR		
99.278	0.2	einen				ART		
99.478	0.2	Stock		object		NN		
99.678	0.1	gestützt				VVPP		
99.778	0.7	kommt				VVFIN		
100.478	0.9	Dan		mname		NE		
101.378	0.5	über				APPR		
101.878	0.1	den				ART		
101.978	0.3	Rasen		geo		NN		
102.278	0.6	eine				ART		
102.878	0.5	Asiatin		female		NN		
103.378	0.5	begleitet#ihn	###			PPER		
103.878	2.8	zögernd				ADJD		
106.678	0.3	geht				VVFIN		
106.978	0.1	er				PPER		
107.078	0.1	auf				APPR		
107.178	0.1	das				ART		
107.278	0.3	Paar		###persons###		NN		
107.578	0.2	zu				PTKVZ		
107.778	1.0	Dan		mname		NE		
108.778	0.5	nähert				VVFIN		
109.278	0.1	sich				PRF		
109.378	0.1	langsam				ADJD		
109.478	0.5	mit				APPR		
109.978	0.4	steifen				ADJA		
110.378	0.3	Schritten				NN		
110.678	0.8	er		male		PPER		
111.478	0.1	hat				VAFIN		
111.578	0.2	kurz				ADJD		
111.778	0.6	geschnittenes				ADJA		
112.378	0.1	Haar		head		NN		
112.478	0.4	ist				VAFIN		
112.878	0.3	glatt				ADV		
113.178	0.5	rasiert		###face###		VVPP		
113.678	0.2	und				KON		
113.878	0.2	trägt				VVFIN		
114.078	0.2	einen				ART		
114.278	0.3	hellen				ADJA		
114.578	0.2	Anzug		body		NN		
114.778	1.0	seine				PPOSAT		
115.778	0.5	Begleiterin		female		NN		
116.278	0.2	ist				VAFIN		
116.478	0.3	fast				ADV		
116.778	0.0	einen				ART		
116.778	0.3	Kopf		head		NN		
117.078	0.2	kleiner				ADJD		
117.278	0.3	als				KOKOM		
117.578	0.2	er				PPER		
117.778	0.5	sie				PPER		
118.278	0.3	trägt				VVFIN		
118.578	0.1	ein				ART		
118.678	0.6	lilafarbenes				ADJA		
119.278	0.4	geblümtes				ADJA		
119.678	0.4	Kleid		body		NN		
120.078	11.0	er				PPER		
131.078	0.3	zeigt				VVFIN		
131.378	0.2	seine				PPOSAT		
131.578	0.5	Prothese		object		NN		
132.078	2.3	sie		female		PPER		
134.378	0.2	steckt				VVFIN		
134.578	0.1	im				APPRART		
134.678	0.2	Schuh		object		NN		
134.878	0.1	und				KON		
134.978	0.2	Socken		object		NN		
135.178	19.8	sie				PPER		
154.978	0.2	gibt				VVFIN		
155.178	0.2	ihm				PPER		
155.378	0.0	die				ART		
155.378	0.3	Hand		bodypart		NN		
155.878	8.0	sie				PPER		
163.878	0.3	reicht				VVFIN		
164.178	0.1	Dan		mname		NE		
164.278	0.2	die				ART		
164.478	0.3	Hand		bodypart		NN		
164.778	0.2	und				KON		
164.978	0.3	küsst				VVFIN		
165.278	0.0	ihn				PPER		
165.278	0.2	auf				APPR		
165.478	0.1	die				ART		
165.578	0.1	Wange		face		NN		
165.678	0.7	Dan		mname		NE		
166.378	0.3	sieht				VVFIN		
166.678	0.4	Forrest		mname		NE		
167.078	0.1	an				PTKVZ		
167.178	0.1	der				PDS		
167.278	0.9	schmunzelt			face	VVFIN		
168.178	0.3	stolz				ADJD		
168.478	3.2	im				APPRART		
171.678	0.4	Garten		setting_rec		NN		
172.078	16.7	trockenes				ADJA		
188.778	0.2	Laub		###object###		NN		
188.978	0.4	weht				VVFIN		
189.378	0.2	über				APPR		
189.578	0.1	die				ART		
189.678	0.1	von				APPR		
189.778	0.4	mächtigen				ADJA		
190.178	0.2	Bäumen		geo		NN		
190.378	0.7	gesäumte				ADJA		
191.078	0.3	Zufahrt		geo		NN		
191.378	2.0	zwischen				APPR		
193.378	0.1	den				ART		
193.478	0.1	Bäumen		geo		NN		
193.578	0.7	spazieren				VVFIN		
194.278	0.3	Jenny		fname		NE		
194.578	0.2	und				KON		
194.778	0.3	Forrest		fname		NE		
195.078	1.0	händchenhaltend				ADJD		
196.078	0.1	auf				APPR		
196.178	0.2	das				ART		
196.378	0.2	Haus		geo		NN		
196.578	0.2	zu				PTKVZ		
196.778	0.7	ihr				PPOSAT		
197.478	0.2	Sohn		male		NN		
197.678	0.3	hebt				VVFIN		
197.978	0.2	etwas				PIS		
