onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
2.946	2.8	FORREST (V.O.)	1	speech	regular	HS	Das war der glücklichste Moment in meinem Leben.	
5.866	0.96	ERZAEHLER	1	speech	regular	none	Abends in einem Camp.	
6.866	1.16	JENNY	1	speech	regular	HS;NS	Siehst du, alle nehmen sie.	
8.066	2.4	FORREST (V.O.)	1	speech	regular	HS	Wir waren wieder wie Pech und Schwefel.	
11.626	1.48	FORREST (V.O.)	1	speech	regular	HS	Sie führte mich in der Stadt herum.	
13.506	2.8	FORREST (V.O.)	1	speech	regular	HS	Und dann stellte sich mich auch ein paar von ihren neuen Freunden vor.	
13.946	83.96	JIMI HENDRIX	0	song	regular		“Hey Joe”	
16.946	2.96	RUBEN	1	speech	regular	imperative	Wirst du wohl das Rollo runter machen! Und beweg deinen weißen Arsch vom Fenster weg!	
20.346	1.84	RUBEN	1	speech	asking	question;NS	Weißt du nicht, dass wir im Krieg sind?	
22.266	0.36	JENNY	1	speech	commanding	imperative	Hör auf!	
22.666	0.72	JENNY	1	speech	regular	HS	Er ist in Ordnung.	
23.426	0.68	JENNY	1	speech	regular	HS	Er ist in Ordnung.	
24.266	1.0	JENNY	1	speech	regular	HS	Er gehört zu uns.	
24.626	1.56	MASAI	1	speech	regular	HS	Ich werd dir jetzt mal was erzählen.	
25.906	1.16	WESLEY	1	speech	asking	question	Verflucht nochmal, wo warst du?	##exclamation###
26.346	9.44	MASAI	1	speech	regular	complex	Wir haben den besten Vorsatz, unsere schwarzen Führer vor den rassistischen Übergriffen der Bullen zu schützen, vor denen, die unsere Schwarzen Führer misshandeln und unsere Frauen vergewaltigen und den Zusammenschluss der Schwarzen zerschlagen wollen.	
33.426	2.2	BLACK PANTHER	1	speech	regular	address	Masai, Telefon.	#timings#
36.106	2.24	ERZAEHLER	1	speech	regular	HS	Bei Jenny steht ein Weißer mit roter Armbinde.	
38.466	0.92	WESLEY	1	speech	asking	question	Wer ist der Babykiller?	
40.346	1.12	JENNY	1	speech	regular	HS	Das ist mein guter, alter Freund.	
41.506	1.04	JENNY	1	speech	regular	HS	Das ist Forrest Gump.	
43.026	0.32	JENNY	1	speech	regular	address	Forrest	
43.426	0.68	JENNY	1	speech	regular	HS	Das ist Wesley.	
44.666	1.6	JENNY	1	speech	regular	HS	Wir beide waren zusammen in Berkeley.	
46.506	2.32	JENNY	1	speech	regular	HS	Wesley ist der Präsident vom SDS in Berkeley.	
48.906	1.32	MASAI	1	speech	regular	HS	Und ich sag dir nochwas anderes.	
50.426	3.84	MASAI	1	speech	regular	HS;NS;NS2	Wir sind dazu da, um Menschen zu schützen und all denen zu helfen, die unsere Hilfe brauchen.	
51.346	1.12	WESLEY	0	speech	asking	question	Komm jetzt! Hörst du nicht?	
52.346	0.76	JENNY	0	speech	regular	###	Ok, Forrest	
52.986	0.88	WESLEY	0	speech	commanding	imperative	Na, komm schon!	
54.426	0.6	MASAI	1	speech	regular	HS	Du musst wissen.	
55.106	2.68	MASAI	1	speech	regular	HS	Wir die Black Panther sind gegen den verdammten Krieg in Vietnam.	
57.826	0.48	MASAI	1	speech	regular	none	Ja, ja	
58.346	5.36	MASAI	1	speech	regular	complex	Wir sind gegen jeden Krieg, in dem schwarze Soldaten an die vordeste Front geschickt werden, um für ein Land zu sterben, das sie hasst.	
63.746	2.32	ERZAEHLER	1	speech	regular	HS;NS	Forrest starrt zu Jenny und Wesley, die sich streiten.	
65.986	5.4	MASAI	1	speech	regular	complex	...kämpfen sollen. Gleichzeitig aber in ihrer eigenen Heimat misshandelt und umgebracht werden, wenn sie nachts friedlich in ihren Betten schlafen.	##hier ist nach erzähler im hörspiel wieder FG###
71.426	1.16	ERZAEHLER	1	speech	regular	HS	Wesley ohrfeigt Jenny.	
75.266	0.76	ERZAEHLER	1	speech	regular	none	In Zeitlupe	
76.106	1.48	ERZAEHLER	1	speech	regular	HS	Forrests Augen weiten sich.	
77.706	1.28	ERZAEHLER	1	speech	regular	HS	Er marschiert auf Wesley zu.	
79.106	2.4	ERZAEHLER	1	speech	regular	AND	Stürzt sich auf ihn und fällt mit ihm über einen Tisch.	
84.546	7.08	JENNY	1	speech	commanding	address;imperative	Forrest, hör auf damit!	
86.746	0.64	JENNY	1	speech	commanding	imperative	Hör auf!	
87.426	1.24	ERZAEHLER	1	speech	regular	HS	Er prügelt auf Wesley ein.	
89.426	0.84	JENNY	1	speech	regular	address	Forrest	
90.826	0.36	JENNY	1	speech	commanding	imperative	Hör auf!	
92.306	0.64	JENNY	1	speech	commanding	imperative	Hör auf!	
93.066	0.8	ERZAEHLER	1	speech	regular	HS	Sie zieht ihn weg.	
94.306	0.4	WESLEY	1	non	regular	none	Errch	
95.186	1.28	ERZAEHLER	1	speech	regular	HS	Wesley rappelt sich hoch.	
96.546	0.96	ERZAEHLER	1	speech	regular;addendum	HS	fasst sich ins Gesicht.	
97.546	1.48	ERZAEHLER	1	speech	regular;addendum	HS	und sieht auf seine blutigen Hände.	
100.106	1.0	WESLEY	1	non	regular	none	ooooooohh	##kein non-speech i.e.S.###
101.466	4.76	WESLEY	1	speech	regular	HS	Hätt ich dich bloß nicht mitgenommen.	
103.586	2.52	WESLEY	1	speech	commanding	HS;NS	Ich hätte es wissen müssen, es kommt nur Scheisse und Suff dabei raus!	
108.306	1.52	FORREST	1	speech	regular	HS	Er darf dich nicht schlagen.	
109.906	0.56	FORREST	1	speech	regular	address	Jenny	
111.506	1.44	ERZAEHLER	1	speech	regular	HS	Ein Schwarzer hält die Tür auf.	
