onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.447	1.32	BUBBA	1	speech	regular;addendum	NS	Wenn das alles hier vorbei ist.	
6.367	0.56	FORREST	1	speech	regular	none	Okay	
7.407	0.44	DRILL SERGEANT	1	speech	regular	address	Gump	
8.367	2.72	DRILL SERGEANT	1	speech	asking	question	Wozu sind Sie einzig und allein in der Army?	
11.167	1.48	FORREST	1	speech	regular	NS;NS2	Um das zu tun, was sie mir sagen.	
12.687	0.96	FORREST	1	speech	regular	address	Drill Seargent	
13.727	0.72	DRILL SERGEANT	1	speech	exclamation	none	Gottverdammt	
14.527	0.28	DRILL SERGEANT	1	speech	regular	address	Gump	
14.887	0.68	ERZAEHLER	1	speech	regular	none	Im Schlafsaal	###locale###
15.607	1.28	DRILL SERGEANT	1	speech	regular	HS	Sie sind ein verfluchtes Genie.	
17.047	1.96	DRILL SERGEANT	1	speech	regular	HS	Das war eine hochintelligente Antwort.	
19.247	2.64	DRILL SERGEANT	1	speech	regular	HS	Sie haben wohl einen Intelligenzquotienten von 160.	
21.207	2.44	DRILL SERGEANT	1	speech	regular	HS	Sie sind eine außergewöhnliche Begabung.	
23.687	0.68	DRILL SERGEANT	1	speech	regular	address	Private Gump	
24.567	1.12	ERZAEHLER	1	speech	regular	none	Die Männer sind in Unterwäsche.	
26.047	1.2	DRILL SERGEANT	1	speech	regular	imperative;address	Alle mal herhören, Männer!	
28.087	5.2	FORREST (V.O.)	1	speech	regular	complex	Es gibt keinen besonderen Grund, aber ich hab in die Army gepasst wie der Deckel auf den Topf. Es ist gar nicht schwer. 	
28.327	3.4	DRILL SERGEANT	0	speech	regular	complex	Haltet euch an diesen Mann, dann werdet ihr es weit bringen.	
33.847	4.8	FORREST (V.O.)	1	speech	regular	complex	Man muss sein Bett richtig machen und immer dran denken, schön stramm zu stehen und jedes Mal antworten:	
38.887	0.72	FORREST (V.O.)	1	speech	exclamation	none	Zu Befehl	
39.727	0.96	FORREST (V.O.)	1	speech	regular	address	Drill Sergeant	
41.007	0.92	DRILL SERGEANT	1	speech	regular	question	Ist das klar?	
42.247	0.8	FORREST & RECRUITS	1	speech	exclamation	none	Zu Befehl	
43.087	1.04	FORREST & RECRUITS	1	speech	regular	address	Drill Sergeant	#movie#
43.127	1.44	ERZAEHLER	1	speech	regular	HS	Jeder setzt sein Gewehr zusammen.	
