onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.578	1.8	ERZAEHLER	1	speech	regular	HS	Er rennt mit seinem Schläger zum Ausgang.	
7.698	1.16	ERZAEHLER	1	speech	regular	HS	Missis Gump kommt...	
9.018	0.48	MRS. GUMP	1	non	regular	none	haaaa	
9.658	0.8	ERZAEHLER	1	speech	regular;addendum	none	...auf ihre Veranda.	
11.058	3.76	ERZAEHLER	1	speech	regular	AND	Glücklich lächelnd bleibt sie auf dem Treppenabsatz stehen und sieht ihrem Sohn entgegen.	
14.978	1.4	ERZAEHLER	1	speech	regular	HS	Ihr Haar ist leicht ergraut. 	
17.898	0.32	MRS. GUMP	1	non	regular	none	heeee	
18.258	1.76	ERZAEHLER	1	speech	regular	HS	Forrest kommt über den Rasen auf sie zu.	
20.098	2.24	ERZAEHLER	1	speech	regular	HS	Er trägt seine graue Uniform mit Schiffchen auf dem Kopf.	
22.538	0.52	FORREST	1	speech	regular	HS	Da bin ich wieder.	
23.098	0.28	FORREST	1	speech	regular	address	Mama	
24.338	0.68	MRS. GUMP	1	speech	regular	HS	Ich weiß.	
25.338	0.72	MRS. GUMP	1	speech	regular	HS	Ich weiß.	
27.458	2.84	MRS. GUMP	0	speech	regular	complex	Louise, er ist da! Er ist da! Kommt alle.	
27.778	5.36	FORREST (V.O.)	1	speech	regular	NS;HS;NS	Als ich dann nach Haus kam, konnte ich ja nicht ahnen, dass inzwischen alle möglichen Leute bei Mama gewesen waren.	
32.858	1.8	MRS. GUMP	1	speech	regular	HS	Hier sind alle möglichen Leute gewesen.	
34.698	0.36	MRS. GUMP	1	speech	regular	address	Forrest	
35.098	2.72	MRS. GUMP	1	speech	regular	HS;NS	Die wollen alle, dass du mit ihrem Zeug Ping Pong spielst.	
37.978	6.8	MRS. GUMP	1	speech	regular	HS;NS;NS2;NS3	Ein Mann war da, der hat sogar einen Check über 25.000 Dollar hier gelassen, nur damit du überall erzählst, dass du mit seinem Schläger spielst.	
45.418	2.16	FORREST	1	speech	regular	address;HS	Ach Mama, ich spiel am liebsten mit meinem eigenen Schläger.	
47.578	0.2	MRS. GUMP	1	non	regular	none	uhm	
47.778	0.12	FORREST	1	non	regular	none	äh	
47.938	0.92	FORREST	1	speech	regular	address	Hi, Miss Louise.	
