onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.429	1.32	BUBBA	1	speech	regular;addendum	NS	Wenn das alles hier vorbei ist.	
6.349	0.56	FORREST	1	speech	regular	none	Okay	
7.389	0.44	DRILL SERGEANT	1	speech	regular	address	Gump	
8.349	2.72	DRILL SERGEANT	1	speech	asking	question	Wozu sind Sie einzig und allein in der Army?	
11.149	1.48	FORREST	1	speech	regular	NS;NS2	Um das zu tun, was sie mir sagen.	
12.669	0.96	FORREST	1	speech	regular	address	Drill Seargent	
13.709	0.72	DRILL SERGEANT	1	speech	exclamation	none	Gottverdammt	
14.509	0.28	DRILL SERGEANT	1	speech	regular	address	Gump	
14.869	0.68	ERZAEHLER	1	speech	regular	none	Im Schlafsaal	###locale###
15.589	1.28	DRILL SERGEANT	1	speech	regular	HS	Sie sind ein verfluchtes Genie.	
17.029	1.96	DRILL SERGEANT	1	speech	regular	HS	Das war eine hochintelligente Antwort.	
19.229	2.64	DRILL SERGEANT	1	speech	regular	HS	Sie haben wohl einen Intelligenzquotienten von 160.	
21.189	2.44	DRILL SERGEANT	1	speech	regular	HS	Sie sind eine außergewöhnliche Begabung.	
23.669	0.68	DRILL SERGEANT	1	speech	regular	address	Private Gump	
24.549	1.12	ERZAEHLER	1	speech	regular	none	Die Männer sind in Unterwäsche.	
26.029	1.2	DRILL SERGEANT	1	speech	regular	imperative;address	Alle mal herhören, Männer!	
28.069	5.2	FORREST (V.O.)	1	speech	regular	complex	Es gibt keinen besonderen Grund, aber ich hab in die Army gepasst wie der Deckel auf den Topf. Es ist gar nicht schwer. 	
28.309	3.4	DRILL SERGEANT	0	speech	regular	complex	Haltet euch an diesen Mann, dann werdet ihr es weit bringen.	
33.829	4.8	FORREST (V.O.)	1	speech	regular	complex	Man muss sein Bett richtig machen und immer dran denken, schön stramm zu stehen und jedes Mal antworten:	
38.869	0.72	FORREST (V.O.)	1	speech	exclamation	none	Zu Befehl	
39.709	0.96	FORREST (V.O.)	1	speech	regular	address	Drill Sergeant	
40.989	0.92	DRILL SERGEANT	1	speech	regular	question	Ist das klar?	
42.229	0.8	FORREST & RECRUITS	1	speech	exclamation	none	Zu Befehl	
43.069	1.04	FORREST & RECRUITS	1	speech	regular	address	Drill Sergeant	#movie#
43.109	1.44	ERZAEHLER	1	speech	regular	HS	Jeder setzt sein Gewehr zusammen.	
44.869	2.64	BUBBA	1	speech	regular	HS;NS	Du musst nichts tun, nur die Netze übern Meeresgrund ziehen.	
47.989	2.8	BUBBA	1	speech	regular	HS	An nem guten Tag kannst du über 100 Pfund Shrimps fangen.	
51.229	6.2	BUBBA	1	speech	regular	complex	Wenn alles richtig hinhaut, verdienen zwei Mann, die zehn Stunden fischen, abzüglich das, was du für den Sprit brauchst, so ungefähr...	
57.589	1.0	FORREST	1	speech	regular	address	Fertig, Drill Sergeant	
59.389	0.36	DRILL SERGEANT	1	speech	regular	address	Gump	
59.749	2.36	MAN	0	speech	asking	question	wer schneidet den gelben die Eier ab?	
62.509	2.16	DRILL SERGEANT	1	speech	asking	question	Wieso haben sie das Gewehr so schnell zusammengesetzt?	
65.429	2.92	FORREST	1	speech	regular	NS	Weil sie es mir gesagt haben.	
66.389	0.64	FORREST	1	speech	regular	address	Drill Sergeant	
67.149	1.16	DRILL SERGEANT	1	speech	exclamation	none	Ach, du heiliger Strohsack	
68.589	1.52	DRILL SERGEANT	1	speech	exclamation	none	Das ist ein neuer Kompanierekord.	
70.549	4.56	DRILL SERGEANT	1	speech	regular	NS;HS	Wenn das nicht den Verlust eines verdammt guten Soldaten bedeuten würde, würde ich sie für die Offizierslaufbahn vorschlagen.	
75.229	3.72	DRILL SERGEANT	1	speech	commanding	complex	Sie werden nochmal General Private Gump und jetzt Waffe auseinandernehmen und weitermachen!	
82.109	0.16	BUBBA	1	non	regular	none	äh	
82.349	1.32	BUBBA	1	speech	regular	NS	Was ich dir gerade sagen wollte.	
83.829	1.56	BUBBA	1	speech	regular	HS	Shrimps sind Früchte des Meeres.	
85.709	1.52	BUBBA	1	speech	regular	HS	Du kannst sie am Spieß braten.	
87.549	2.96	BUBBA	1	speech	regular;addendum	none	Backen, Braten, Auf den Grill tun, Sautieren. 	
90.549	0.44	BUBBA	1	speech	regular	HS	Es gibt...	
91.029	0.2	BUBBA	1	non	regular	none	...äh...	
91.269	0.96	BUBBA	1	speech	regular	none	Shrimps Kebab,	###objects?###
92.469	1.04	BUBBA	1	speech	regular	none	Shrimps Creol,	
94.109	1.28	BUBBA	1	speech	regular	none	Shrimps mit Gumbo,	
95.429	0.8	ERZAEHLER	1	speech	regular	HS	Sie putzen Stiefel.	
96.269	1.32	BUBBA	1	speech	regular	none	in der Pfanne gebraten,	
97.709	0.84	BUBBA	1	speech	regular	none	oder fritiert	
98.789	1.44	BUBBA	1	speech	regular	HS	Es gibt Shrimps mit Bananen,	
100.909	1.08	BUBBA	1	speech	regular	none	Limonenshrimps, 	
102.109	1.24	BUBBA	1	speech	regular	none	Kokusnussshrimps,	
103.549	0.96	BUBBA	1	speech	regular	none	Pfeffershrimps,	
104.589	1.08	BUBBA	1	speech	regular	none	Shrimpssuppe,	
105.749	1.0	BUBBA	1	speech	regular	none	Shrimpeintopf,	
106.789	1.68	ERZAEHLER	1	speech	regular	HS	Sie scheuern den Boden mit Zahnbürsten.	
107.069	0.92	BUBBA	1	speech	regular	none	Shrimpssalat, 	#movie only#
108.549	1.44	BUBBA	1	speech	regular	none	Shrimps mit Kartoffel,	
110.309	1.08	BUBBA	1	speech	regular	none	Shrimpsburger, 	
112.029	1.2	BUBBA	1	speech	regular	none	Shrimpssandwich	
116.069	1.28	BUBBA	1	speech	regular	complex	Das, das wars glaub ich.	
118.469	0.2	BUBBA	1	speech	regular	none	Ja	
121.149	39.2	OST	1	song	instrumental	instrumental		
119.429	0.64	ERZAEHLER	1	speech	regular	HS	Es ist dunkel.	
120.149	0.92	ERZAEHLER	1	speech	regular	HS	Bubba liegt wach im Bett.	
121.309	3.04	FORREST (V.O.)	1	speech	regular	HS	Die Nächte in der Army, sind sehr, sehr einsam.	
125.069	1.68	FORREST (V.O.)	1	speech	regular	HS	Wir lagen in unseren Feldbetten.	
127.309	1.4	FORREST (V.O.)	1	speech	regular;addendum	HS	und meine Mama fehlte mir.	
129.509	1.56	FORREST (V.O.)	1	speech	regular;addendum	HS	und Jenny fehlte mir.	
131.469	1.72	ERZAEHLER	1	speech	regular	HS	Forrest liegt oben im Etagenbett.	
133.309	1.72	ERZAEHLER	1	speech	regular	HS	Sein Nachbar wirft ihm einen 'Playboy' zu.	
135.389	0.64	YOUNG PRIVATE	1	speech	regular	address	Hey, Gump	
