onset	duration	character	arousal	valence_positive	valence_negative	c_audio	c_context	c_face	c_gesture	c_narrator	c_verbal	d_other	d_self	e_admiration	e_anger/rage	e_contempt	e_disappointment	e_fear	e_fears_confirmed	e_gloating	e_gratification	e_gratitude	e_happiness	e_happy-for	e_hate	e_hope	e_love	e_pity/compassion	e_pride	e_relief	e_remorse	e_resent	e_sadness	e_satisfaction	e_shame
192.0	12.0	FORREST	-0.666666666667	0.666666666667	0.0	0.111111111111	0.0	0.444444444444	0.111111111111	0.0	0.444444444444	0.33333333333299997	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
204.0	2.0	FORREST	-0.777777777778	0.777777777778	0.0	0.111111111111	0.0	0.444444444444	0.111111111111	0.0	0.555555555556	0.444444444444	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
206.0	3.0	FORREST	-0.666666666667	0.888888888889	0.0	0.222222222222	0.0	0.444444444444	0.111111111111	0.0	0.666666666667	0.33333333333299997	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
209.0	16.0	FORREST	-0.33333333333299997	0.555555555556	0.0	0.111111111111	0.0	0.33333333333299997	0.111111111111	0.0	0.444444444444	0.222222222222	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
225.0	15.0	FORREST	-0.555555555556	0.555555555556	0.0	0.111111111111	0.0	0.222222222222	0.222222222222	0.0	0.444444444444	0.33333333333299997	0.222222222222	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
238.0	1.0	WOMAN	-0.555555555556	0.0	0.555555555556	0.0	0.0	0.222222222222	0.222222222222	0.0	0.33333333333299997	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
239.0	1.0	WOMAN	-0.555555555556	0.0	0.555555555556	0.0	0.0	0.222222222222	0.222222222222	0.0	0.33333333333299997	0.444444444444	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
240.0	1.0	WOMAN	-0.666666666667	0.0	0.666666666667	0.0	0.0	0.222222222222	0.222222222222	0.0	0.444444444444	0.555555555556	0.111111111111	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
241.0	1.0	WOMAN	-0.555555555556	0.0	0.555555555556	0.0	0.0	0.222222222222	0.222222222222	0.0	0.33333333333299997	0.444444444444	0.111111111111	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
245.0	15.0	FORREST	-0.555555555556	0.555555555556	0.0	0.111111111111	0.0	0.33333333333299997	0.33333333333299997	0.0	0.555555555556	0.33333333333299997	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
