onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
1.181	1.4	ERZAEHLER	1	speech	regular	none	Eine Computeranimation	
3.141	3.84	ERZAEHLER	1	speech	regular	HS	Auf einen schroffen Berg mit schneebedeckter Flanke fliegt eine Reihe Sterne zu. 	
7.301	1.6	ERZAEHLER	1	speech	regular	HS	Sie bilden einen Kranz um den Gipfel.	
9.381	0.68	ERZAEHLER	1	speech	regular	none	Paramount	
15.981	3.48	ERZAEHLER	1	speech	regular	HS	Vor bewölktem Himmel schwebt eine grau-weiße Feder durch die Luft.	
20.741	144.8	OST	1	song	instrumental	instrumental		
22.821	2.96	ERZAEHLER	1	speech	regular	HS	In einer Stadt segelt sie über die Baumkronen eines Parks.	
31.821	1.4	ERZAEHLER	1	speech	regular	none	Ein Robert-Zemeckis-Film	
34.261	2.4	ERZAEHLER	1	speech	regular	none	Tom Hanks als Forrest Gump	
40.741	2.16	ERZAEHLER	1	speech	regular	HS	Die Feder fliegt ein paar Meter über den Wipfeln.	
43.861	6.96	ERZAEHLER	1	speech	regular	none	Robin Wright als Jenny, Gary Sinise als Lieutenant Dan, Mykelti Williamson als Bubba und Sally Field als Missis Gump	
51.421	1.28	ERZAEHLER	1	speech	regular	none	Musik: Alan Silvestri	
53.221	1.12	ERZAEHLER	1	speech	regular	none	Drehbuch: Eric Roth	
54.941	2.28	ERZAEHLER	1	speech	regular	none	Nach dem gleichnamigen Roman von Winston Groom	
58.461	1.36	ERZAEHLER	1	speech	regular	none	Regie: Robert Zemeckis	
68.781	4.16	ERZAEHLER	1	speech	regular	HS	In der Nähe eines Kirchturmes sinkt die Feder vor einem weißen Gebäude langsam tiefer.	
77.501	4.52	ERZAEHLER	1	speech	regular	HS	Die Hörfilmfassung wurde produziert vom Bayerischen Rundfunk im Auftrag des Schweizer Fernsehens.	
82.221	3.08	ERZAEHLER	1	speech	regular	none	Text: Koop, Michalski und Beckmann – Hörfilm e.V	
85.901	2.08	ERZAEHLER	1	speech	regular	none	Redaktion: Elmar Dosch und Bernd Benecke	
88.501	1.36	ERZAEHLER	1	speech	regular	none	Tonmischung: Herbert Glaser	
90.181	1.32	ERZAEHLER	1	speech	regular	none	Sprecher: Thomas Meinhardt	
93.061	3.08	ERZAEHLER	1	speech	regular	HS	Die Feder trudelt zu einer Straße hinunter, die durch den Park führt.	
96.701	1.92	ERZAEHLER	1	speech	regular	HS	Ein Mann bleibt kurz am Bordstein stehen.	
99.061	1.84	ERZAEHLER	1	speech	regular	HS	Die Feder landet sanft auf seiner Schulter.	
105.701	1.44	ERZAEHLER	1	speech	regular	HS	Der Mann überquert die Fahrbahn.	
107.741	2.96	ERZAEHLER	1	speech	regular	HS	Die Feder schwebt weiter über die Windschutzscheibe eines Chevrolets.	
111.341	5.4	ERZAEHLER	1	speech	regular	AND;relativ	Sie sinkt bis dicht über den Asphalt und fliegt unter einem Wagen hindurch, der an einer Bushaltestelle vorbeifährt.	
117.541	3.76	ERZAEHLER	1	speech	regular	AND	Die Feder wird wieder hochgewirbelt und trudelt zu einem Mann auf einer Wartebank.	
122.141	2.72	ERZAEHLER	1	speech	regular	HS	Sie landet an einem seiner abgewetzten Nike-Laufschuhe.	
126.261	2.08	ERZAEHLER	1	speech	regular	AND	Der Mann hebt sie auf und betrachtet sie.	
129.301	4.2	ERZAEHLER	1	speech	regular	AND	Er ist etwa vierzig, schlank und braungebrannt und hat kleine dunkle Augen.	
134.181	3.68	ERZAEHLER	1	speech	regular	HS	Sein kurzes dunkles Haar mit Geheimratsecken ist über den Ohren ausrasiert.	
138.501	2.64	ERZAEHLER	1	speech	regular	HS	Er trägt einen hellen Anzug und ein blau kariertes Hemd.	
141.901	3.72	ERZAEHLER	1	speech	regular	AND	Der Mann nimmt eine Pralinenschachtel von einem kleinen Koffer und öffnet ihn.	
147.101	4.2	ERZAEHLER	1	speech	regular	HS	Zwischen den akkurat gepackten Sachen liegen auch ein rotes Käppi und ein Tischtennisschläger.	
151.981	3.48	ERZAEHLER	1	speech	regular	HS	Aus dem Kofferdeckel zieht der Mann das Kinderbuch 'Curious George'.	
157.061	3.08	ERZAEHLER	1	speech	regular	AND	Er legt die Feder hinein, schließt den Koffer und stellt ihn neben sich.	
162.021	2.28	ERZAEHLER	1	speech	regular	HS	Der Mann schaut mit ernstem Gesicht in Leere.	
166.101	1.0	ERZAEHLER	1	speech	regular	HS	Ein Linienbus hält.	
171.621	3.56	ERZAEHLER	1	speech	regular;addendum	none	Darauf eine Werbung für ein neues Automodell von 1981.	
178.741	1.72	ERZAEHLER	1	speech	regular	HS	Der Mann öffnet die Pralinenschachtel.	
180.861	3.32	ERZAEHLER	1	speech	regular	HS	Eine schwarze Frau in Schwesterntracht setzt sich zu ihm auf die Bank.	
184.821	1.72	ERZAEHLER	1	speech	regular	HS	Schnell macht der Mann die Schachtel wieder zu.	
187.101	1.92	ERZAEHLER	1	speech	regular	HS	Die Krankenschwester blickt in eine Zeitschrift.	
189.981	0.32	FORREST	1	speech	regular	address	Hallo	
191.861	2.12	FORREST	1	speech	regular	HS	Mein Name ist Forrest, Forrest Gump.	
194.501	2.32	ERZAEHLER	1	speech	regular	AND	Die Schwester sieht kurz hoch, nickt und liest weiter. 	
197.221	2.32	ERZAEHLER	1	speech	regular	HS	Forrest hält ihr die geöffnete Pralinenschachtel hin.	
199.941	1.12	FORREST	1	speech	regular	question	Möchten Sie eine Praline?	
202.141	0.88	ERZAEHLER	1	speech	regular	HS	Sie schüttelt den Kopf.	
204.381	2.64	FORREST	1	speech	regular	HS;ACI	Ich glaub, ich könnte sie pfundweise essen.	
208.861	1.76	FORREST	1	speech	regular	HS	Meine Mama hat immer gesagt:	
210.901	2.92	FORREST	1	speech	regular	HS	Das Leben ist wie eine Schachtel Pralinen.	direkte Rede
214.261	1.2	ERZAEHLER	1	speech	regular	HS	Er steckt sich eine in den Mund.	
215.861	1.52	FORREST	1	speech	regular	HS;ACI	Man weiß nie, was man kriegt.	direkte Rede
218.141	1.16	ERZAEHLER	1	speech	regular	HS	Die Schwester reagiert nicht.	
221.221	2.28	ERZAEHLER	1	speech	regular	HS	Forrest zeigt auf ihre strahlend weißen Halbschuhe.	
224.181	0.32	FORREST	1	non	regular	none	mhm	
225.301	1.8	FORREST	1	speech	regular	HS	Das müssen ja bequeme Schuhe sein.	
227.701	0.12	FORREST	1	non	regular	none	mhm	
229.061	3.76	FORREST	1	speech	regular	HS;NS	Ich wette, in den Schuhen kann man den ganzen Tag rumlaufen und spürt gar nichts.	
233.301	0.16	FORREST	1	non	regular	none	hm	
235.821	1.76	FORREST	1	speech	regular	HS;NS	Ich wünschte, ich hätte solche Schuhe.	
238.781	0.96	BLACK WOMAN	1	speech	regular	HS	Meine Füße tun weh.	
241.181	0.08	FORREST	1	non	regular	none	tzm	
241.381	1.04	FORREST	1	speech	regular	HS	Mama sagte immer:	
242.501	2.72	FORREST	1	speech	regular	HS	Schuhe können dir über einen Menschen ganz schön viel erzählen.	direkte Rede
