onset	duration	person	FG	kind	prosody	sentence_grammar	text	commentary
2.597	1.36	FORREST	1	speech	regular;addendum	none	Meine einzige Freundin.	
4.197	2.28	ERZAEHLER	1	speech	regular	HS	Die Krankenschwester sieht ungerührt in ihre Zeitschrift.	
7.717	0.96	FORREST	1	speech	regular	HS	Meine Mama sagte immer:	
8.717	1.52	FORREST	1	speech	regular	HS	Wunder passieren an jedem Tag.	direkte Rede
10.357	0.92	ERZAEHLER	1	speech	regular	HS	Die Schwester blickt hoch.	
11.317	2.6	FORREST	1	speech	regular	HS;NS;NS	Es gibt Leute, die glauben nicht daran, aber es ist so.	
14.237	2.64	ERZAEHLER	1	speech	regular	none	Forrest und Jenny auf einem Weg.	
15.837	0.92	ERZAEHLER	1	speech	regular	HS	Etwas trifft ihm am Kopf.	
16.797	0.8	BOY #1	1	speech	regular	address	Hey, Blödmann	
17.877	0.92	ERZAEHLER	1	speech	regular	HS	Forrest kippt um.	
18.997	2.0	BOY #2	1	speech	regular	question	Bist du zurückgeblieben oder einfach nur blöd?	
21.477	1.4	BOY #3	1	speech	regular	HS	Nein, ich bin Forrest Gump.	direkte Rede
22.997	1.56	JENNY (child)	1	speech	commanding	imperative;NS	Hör gar nicht auf das, was sie sagen!	
25.877	2.28	JENNY (child)	1	speech	commanding	imperative;address;imperative;address;imperative	Lauf, Forrest, lauf, Forrest, lauf	
28.917	0.8	BOY #2	1	speech	commanding	none	Auf die Räder	
29.757	0.72	BOY #3	1	speech	commanding	imperative	Macht schnell!	
32.037	0.8	BOY #3	1	speech	exclamation	HS	Los gehts!	
32.797	1.08	BOY #2	1	speech	regular	HS	Wir kriegen ihn schon.	
34.677	0.84	BOY #2	1	speech	exclamation	HS	Den greifen wir uns.	
35.957	1.36	ERZAEHLER	1	speech	regular	HS	Die Drei jagen an Jenny vorbei.	
37.357	1.68	JENNY (child)	1	speech	regular	imperative;address;imperative	Lauf, Forrest, Lauf	
39.677	1.08	JENNY (child)	1	speech	regular	imperative;address	Lauf, Forrest	
40.837	1.24	ERZAEHLER	1	speech	regular	HS	Er stakst den Weg entlang.	
42.637	1.16	BOY #1	1	speech	regular	HS	Wir kriegen dich schon.	
41.317	121.96	OST	0	song	instrumental	instrumental		
45.517	0.88	ERZAEHLER	1	speech	regular	HS	Forrest wird schneller.	
47.477	1.8	ERZAEHLER	1	speech	regular	HS	Die Jungs auf ihren Rädern holen langsam auf.	
51.157	2.28	ERZAEHLER	1	speech	regular	HS	Behindert durch die Schienen hastet Forrest weiter.	
53.677	0.72	ERZAEHLER	1	speech	regular	none	In Zeitlupe	
55.077	2.24	ERZAEHLER	1	speech	regular	HS	Mit seinen steifen Beinen macht er ungelenke Schritte.	
57.597	2.68	JENNY (child)	1	speech	regular	imperative;address;imperative	Lauf, Forrest, Lauf	
60.837	1.96	ERZAEHLER	1	speech	regular	HS	Die Verfolger treten verbissen in die Pedale.	
62.997	1.6	ERZAEHLER	1	speech	regular	HS	Gehetzt sieht sich Forrest zu ihnen um.	
64.997	1.32	ERZAEHLER	1	speech	regular	HS	Er hat eine Platzwunde an der Stirn.	
67.997	2.92	ERZAEHLER	1	speech	regular	HS;NS	Im Laufen beginnt Forrest plötzlich, die Knie zu beugen.	
72.037	1.6	ERZAEHLER	1	speech	regular	HS	Die Halterungen der Schienen reißen ab.	
74.517	1.52	ERZAEHLER	1	speech	regular	HS	Einzelteile fliegen durch die Luft.	
81.037	1.56	ERZAEHLER	1	speech	regular	HS	Die letzten Teile fallen ab.	
84.597	1.6	ERZAEHLER	1	speech	regular	HS	Forrest starrt entschlossen nach vorn.	
86.517	1.68	ERZAEHLER	1	speech	regular	HS	Die Jungs fahren durch die Reste der Schienen.	
90.637	3.04	FORREST (V.O.)	1	speech	regular	HS;NS	Sie werden mir das wahrscheinlich nicht glauben, wenn ich Ihnen das erzähle.	
93.797	0.76	ERZAEHLER	1	speech	regular	none	Auf der Wartebank	
